objectid,parentid,title,work_type,creator,vocabularies_creator,date_created,dimensions,location,vocabularies_location,provenance,citation,subject,vocabularies_subject,description,related_paintings,display_template,object_location,image_small,image_thumb,image_alt_text
w_0001,,Venus + Adonis,oil painting (AAT 300178684),"Paolo Veronese (Italian, 1528-1588)",ULAN,16th century,,,,Private collection,"Rodolpho Pallucchini. Acropoli, 1963.","Venus deities in art; Cupids (Art); Dogs in art; Art, Renaissance",LCSH,"Figures of Venus and Adonis embrace. A cherub holds a portion of the goddess' dress, and three hounds surround the couple. Adonis holds their leads in his left hand.",https://info663-fa24.github.io/team1/items/w_0003.html,compound_object,,,,
w_0002,,The Astronomer,oil painting (AAT 300178684),"Paolo Veronese (Italian, 1528-1588)",ULAN,16th century,138.43 x 110.49 cm (54 1/2 x 43 1/2inches),"Berlin, Germany",TGN,"Purchased by Charles Albert de Burlet [1882-1956], Berlin, Germany, 1922;
Purchased by Agnew [1817-2008], Manchester, United Kingdom, 1925.

De Burlet: http://viaf.org/viaf/77086473
Thos. Agnew and Sons Ltd.: http://viaf.org/viaf/146780824",Apollo 4:23 (1926): 185.,"Astronomy in art; Windows in art; Headgear in art; Art, Renaissance",LCSH,"Figure of an astronomer with a face of concentration, wearing a turban and holding an instrument up to his ear.",https://info663-fa24.github.io/team1/items/w_0016.html,compound_object,,,,
w_0003,,Shepherd + Nymph,oil painting (AAT 300178684),"Paris Bordone (Italian, 1500-1571)",ULAN,16th century,,"Milan, Italy",TGN,"Crespi Collection, Milan, Italy.

Crespi Collection: http://vocab.getty.edu/page/ulan/500302879","Martini, E. Arte Illustrata (1968): 26.","Shepherds in art; Cupids (Art); Nymphs (Greek deities) in art; Art, Renaissance",LCSH,Nude figures of a nymph and shepherd in repose under a fig tree as a cupid descends on  them. They are unaware of the intrusion.,https://info663-fa24.github.io/team1/items/w_0001.html,compound_object,,,,
w_0004,,Courtesan,oil painting (AAT 300178684),"Paris Bordone (Italian, 1500-1571)",ULAN,16th century,106.8 x 82.3 cm (45 x 32 3/8 inches),"John Paul Getty Museum (Malibu, California)",TGN,"Oliver Vernon Watney [1902-1966], Cornbury Park, Oxfordshire. 
Purchased by J. Paul Getty [1892-1976], Sutton Place, Guildford, Surrey, from sale, Christie’s, London, England. June 23, 1967 (For approximately 57,000).
Transfered to J. Paul Getty Museum, Malibu CA, 1978.
from Christie’s sale, New York, NY.  May 21, 1992 (for approximately 37,000).

Watney, Oliver Vernon: http://viaf.org/viaf/254010859
Oxfordshire: http://vocab.getty.edu/page/tgn/7008168
Christie’s London: http://vocab.getty.edu/page/ulan/500371691
Getty, J. Paul : http://viaf.org/viaf/17223172
J. Paul Getty Museum: http://viaf.org/viaf/147804499
Christie’s New York: http://vocab.getty.edu/page/ulan/500371692",,"Courtesans in art; Décolletage; Portrait painting, Italian; Art, Renaissance",LCSH,"3/4 portrait of a woman set against columns and a window. Her dress is unbound, her hair trails over both shoulders. She looks to the right of the frame",https://info663-fa24.github.io/team1/items/w_0005.html; https://info663-fa24.github.io/team1/items/w_0009.html; https://info663-fa24.github.io/team1/items/w_0010.html; https://info663-fa24.github.io/team1/items/w_0017.html,compound_object,,,,
w_0005,,3/4 Length portrait of fair haired woman holding elaborate mirror,oil painting (AAT 300178684),"Paris Bordone (Italian, 1500-1571)",ULAN,16th century,87.63 cm x 72.39 cm (34 1/2 x 28 1/2 inches),"Christie's (London, England)",TGN,"Earl of Radnor, Longford Castle, Salisbury, Wiltshire, England. 
David Koetser Gallery from sale, Christie’s, London, England. July 24, 1945 (for approximately 651 British pounds).


Christie’s London: http://vocab.getty.edu/page/ulan/500371691
David Koetser Gallery: http://vocab.getty.edu/page/ulan/500312232
Longford Castle: http://viaf.org/viaf/244359243","Burlington House 1873, N. 134
Burlington House, 1904, N. 73
Waagen, Gustav Friedrich. Treasures of Art in Great Britain, volume 4. London: John Murray, (1854): 140.","Portrait painting, Italian; Jewelry in art; Art, Italian; Art, Renaissance",LCSH,"3/4 portrait of a woman with ornate hairstyle, holding an object. The figure has long hair, is wearing a dress and jewelry, and is looking to the left of the frame.",https://info663-fa24.github.io/team1/items/w_0004.html; https://info663-fa24.github.io/team1/items/w_0009.html; https://info663-fa24.github.io/team1/items/w_0010.html; https://info663-fa24.github.io/team1/items/w_0017.html,compound_object,,,,
w_0006,,Portrait of a Venetian General,oil painting (AAT 300178684),"Paolo Veronese (Italian, 1528-1588)",ULAN,16th century,199.5 x 119 cm (78 1/2 x 46 7/8 inches),"Christie's (London, England)",TGN,"The 12th Duke of Hamilton, Christie's Sale. June 24, 1882, The 6th Earl of Rosebury, Mentmore.Christie's Sale. May 5, 1939, Koester, Madame K.L, Frederick W. Field, Greenacres, Beverly Hills, Christie's Sale. July 5th, 1991. 
Christie's London: https://www.getty.edu/vow/ULANFullDisplay?find=&role=&nation=&subjectid=500371691",,"Generals in art; Armor in art; Art, Italian; Art, Renaissance",LCSH,"Portrait of a general, standing with an arm rested next to a helmet. The figure is wearing armor and holding a sword.",N/A,compound_object,,,,
w_0007,,Poet Between Vice & Virtue,oil painting (AAT 300178684),"Paolo Veronese (Italian, 1528-1588)",ULAN,16th century,60 x 45 cm,"Ponte a Moriano, Italy",TGN,"Renalto Barme, Edith von Zur Muehlen, London

Renalto Barme: no record found
Edith von Zur Muehlen: no record found",,"Symbolism; Poets in art; Art, Italian; Art, Renaissance",LCSH,"Figures of two women engage in a tug of war over the figure of man. He reaches for one, and looks over his shoulder at the other. They are in a garden, with hellenic statues behind them.",N/A,compound_object,,,,
w_0008,,Resurrection,oil painting (AAT 300178684),"Jacopo Tintoretto (Italian, 1518-1594)",ULAN,16th century,,"Oxford, England",TGN,"Sir William Farrar, London
Ashmolean, Oxford

William Farrar: no record found
Ashmolean Museum: http://vocab.getty.edu/page/ulan/500309840",,"Resurrection; Angels (spirits); Art, Italian; Art, Renaissance",AAT; LCSH,"A resurrection scene featuring a figure ascending to heaven in the form of an angel. The figure is placed above onlookers and other bodies in the foreground and background: some cower, some converse.",https://info663-fa24.github.io/team1/items/w_0011.html,compound_object,,,,
w_0009,,Venetian Senator (Marco Zani),oil painting (AAT 300178684),"Jacopo Tintoretto (Italian, 1518-1594)",ULAN,1570-1575,,"Stirling Collection, Keir (Dunblane, Scotland)",TGN,"Bought in Italy by Charles Stirling before 1826. Sotheby Sale, July 3rd 1963.","Stirling Collection, Dunblane, Scotland.","Portrait painting, Italian; Politicians; Art, Italian; Art, Renaissance",LCSH,"A 3/4 portrait of a bearded man dressed in fur-lined robe. His hands are clenched, one eyebrow is slightly raised.",https://info663-fa24.github.io/team1/items/w_0004.html; https://info663-fa24.github.io/team1/items/w_0005.html; https://info663-fa24.github.io/team1/items/w_0010.html; https://info663-fa24.github.io/team1/items/w_0017.html,compound_object,,,,
w_0010,,Portrait of Catalina Varano,oil painting (AAT 300178684),Sebastiano del Piombo (1485-1547),ULAN,16th century,,"The Louvre (Paris, France)",TGN,"Louvre, Paris

Louvre Museum: http://vocab.getty.edu/page/ulan/500125189",,"Portrait painting, Italian; Costume, clothing and dress; Art, Italian; Art, Renaissance",LCSH,"A 3/4 portrait of a woman against a curtain. She looks over her shoulder at the viewer. She is wearing an opulent gown and veil, and holds a ribbon with script on it.",https://info663-fa24.github.io/team1/items/w_0004.html; https://info663-fa24.github.io/team1/items/w_0005.html; https://info663-fa24.github.io/team1/items/w_0009.html; https://info663-fa24.github.io/team1/items/w_0017.html,compound_object,,,,
